country,gender,climber_name,climb_day,climb_month,climb_year
Afghanistan,male,Samuel Dean Sidiqi[1][2][3][4],17,5,2023
Albania,male,Gjergj Bojaxhi[5],26,5,2012
Algeria,male,Nadir Dendounne[6][7][8],25,5,2008
Argentina,male,Tommy Heinrich[10][11],15,5,1999
Armenia,male,Igor Khalatian[12][13][14],16,5,2002
Australia,male,Tim Macartney-Snape and Greg Mortimer[18][19][20],3,10,1984
Austria,male,Peter Habeler[24][25][26],8,5,1978
Azerbaijan,male,Israfil Ashurly[30][31],19,5,2007
Bahamas,male,Richard Beek[35],22,5,2018
Bangladesh,male,Musa Ibrahim,23,5,2010
Belgium,male,Rudy Van Snick[44],10,5,1990
Bhutan,male,Jigme Palden Dorji[47][48][49][50],20,5,2024
Bosnia And Herzegovina,male,Naim Logić [bs; sh][55],19,5,2012
Brazil,male,Waldemar Niclevicz [pt] and Mozart Catão [pt][58],14,5,1995
Bulgaria,male,Hristo Prodanov[59][60][61],20,4,1984
Canada,male,Laurie Skreslet[64][65][66][67],5,10,1982
China,male,"Wang Fuzhou, Qu Yinhua [zh][74][75][76][77]",25,5,1960
Costa Rica,male,Warner Rojas[81][82],24,5,2012
Croatia,male,Nikola Mišljenović,4,2,1999
Cuba,male,Osvany Aguilar[92],24,6,2006
Cyprus,male,George Andreou[93],19,5,2012
Czechia,male,Pavel Bém[95],18,5,2007
Dominican Republic,male,Karim Mella[102],21,5,2011
Ecuador,male,Iván Vallejo[106][107],25,5,1999
Egypt,male,Omar Samra[110][111],17,5,2007
Estonia,male,Alar Sikk[119][120],23,5,2003
Faroe Islands (Denmark),male,Arne Vatnhamar [fo][123],25,5,2014
France,male,"Pierre Mazeaud, Jean Afanassieff [fr], and Nicolas Jaeger[129][130][131]",15,10,1978
Georgia,male,Lev Sarkisov,12,5,1999
Germany,male,Reinhard Karl[137][138],10,5,1979
Honduras,male,Ronald Quintero[146][147],12,5,2022
Hong Kong,male,Cham Yick-kai[148][149],12,5,1992
Hungary,male,Zsolt Erőss[154][155][156],25,5,2002
Iceland,male,Haraldur Örn Ólafsson [is],16,5,2002
India,male,Avtar Singh Cheema[158][159],20,5,1965
Iran,male,Hooman Aprin[163][164],5,10,1990
Iraq,male,Dadvan Yousuf[166][167][168],20,5,2024
Ireland,male,Dawson Stelfox[169][170][171],27,5,1993
Italy,male,Reinhold Messner[24]: 154 [175][176],8,5,1978
Japan,male,"Matsuura Teruo [ja], Naomi Uemura[178]",11,5,1970
Jordan,male,Mostafa Salameh[179],25,5,2008
Kenya,male,James Kagambi[181][182][183],12,5,2022
"Korea, South",male,Ko Sang-Don [ko] (고상돈)[184][185],15,9,1977
Kurdistan,male,Dadvan Yousuf[189][167][168],20,5,2024
Kuwait,male,Zed Al Refai[190][191][192][193],23,5,2003
Lebanon,male,Maxim Chaya[194][195][196],15,5,2006
Lithuania,male,Vladas Vitkauskas[197][198],10,5,1993
Malaysia,male,M. Magendran[199][200][201],23,5,1997
Malta,male,"Gregory Attard,[202] Marco Cremona, and Robert Gatt[203][204][205]",17,5,2010
Mauritius,male,Jaysen Arumugum[206],26,5,2011
Mexico,male,Ricardo Torres Nava [es][207],16,5,1989
Mongolia,male,Gotovdirij Usukhbayar[214],30,5,2005
Montenegro,male,"Đorđije Vujičić, Dragutin Vujović,[215] and Marko Blečić[216]",20,5,2010
Morocco,male,Nacer Ben Abdeljalil[217],3,6,2013
Nepal,male,Tenzing Norgay[224][225][226],29,5,1953
New Zealand,male,Edmund Hillary[230][231][232],29,5,1953
North Macedonia,male,Dimitar Ilievski-Murato[233][234],10,5,1989
Norway,male,Arne Næss Jr.[235][236][237],29,4,1985
Oman,male,Khalid Sulaiman Al Siyabi[240][241][242],23,5,2010
Pakistan,male,Nazir Sabir,17,5,2000
Panama,male,Michael Morales,23,5,2009
Philippines,male,Leo Oracion[248][249][250],17,5,2006
Poland,male,Krzysztof Wielicki[251],17,2,1980
